traffic_type,intensity,mean_fct,p95_fct,p99_fct
WebSearch,1,0.6735592675209046,2.0695390105247498,2.0848605370521547
WebSearch,2,0.6945402824878693,2.0830325961112974,3.070525617599487
WebSearch,3,0.719261581103007,2.091126501560211,2.105113432407379
WebSearch,4,0.8352278476953506,2.0973026633262633,2.13675550699234
WebSearch,5,0.9049306316375733,2.1166789054870607,2.1535866522789
WebSearch,6,0.9038615262508393,2.1011738181114197,2.134822688102722
WebSearch,7,0.9017604885782514,2.111873972415924,2.1622213602066034
WebSearch,8,0.9002973014116287,2.1143482327461243,2.150041191577911
WebSearch,9,0.9159911076227824,2.1117998242378233,2.1521186780929566
WebSearch,10,0.9286966714859008,2.119929587841034,2.159207830429077
DataMining,1,0.9186291933059693,2.079202151298523,2.1022458338737495
DataMining,2,0.8980194020271302,2.0759376525878905,2.29182518243789
DataMining,3,0.8788857579231262,2.0863723516464234,2.1108750724792396
DataMining,4,0.8827337783575058,2.087381660938263,2.0994389843940735
DataMining,5,0.8743702549934387,2.093770456314087,2.1078840851783753
DataMining,6,0.878278177579244,2.095950174331665,2.160744032859802
DataMining,7,0.8728762187276567,2.0986396431922913,2.1383336663246153
DataMining,8,1.076502713263035,2.0964045763015746,3.0509441471099854
DataMining,9,1.0832270386483933,2.1066601991653444,2.1539546704292296
DataMining,10,1.0817699091434478,2.126262927055359,2.1872892570495606
